model,fmt,bits_per_value,quantized_params,bf16_params,bytes,mib,ratio
Qwen3-0.6B,bf16,16.0,0,596049920,1192099840,1136.875,1.0
Qwen3-0.6B,mxfp4,4.25,595984384,65536,316747776,302.07421875,3.7635618316069883
Qwen3-0.6B,mxfp8,8.25,595984384,65536,614739968,586.26171875,1.9391936461824457
Qwen3-1.7B,bf16,16.0,0,1720574976,3441149952,3281.736328125,1.0
Qwen3-1.7B,mxfp4,4.25,1720451072,123904,914237440,871.884765625,3.7639564969030364
Qwen3-1.7B,mxfp8,8.25,1720451072,123904,1774462976,1692.259765625,1.9392627507828035
Qwen3-14B,bf16,16.0,0,14768307200,29536614400,28168.310546875,1.0
Qwen3-14B,mxfp4,4.25,14767882240,424960,7846287360,7482.802734375,3.764406405834211
Qwen3-14B,mxfp8,8.25,14767882240,424960,15230228480,14524.677734375,1.9393415166940424
Qwen3-4B,bf16,16.0,0,4022468096,8044936192,7672.2490234375,1.0
Qwen3-4B,mxfp4,4.25,4022272000,196096,2137224192,2038.2158203125,3.7641985441272787
Qwen3-4B,mxfp8,8.25,4022272000,196096,4148360192,3956.1845703125,1.9393051277259967
