run,model,weights,acts,errcomp,search,budget,bits,ppl,seconds
Qwen3-0.6B_bf16,Qwen3-0.6B,none,none,,False,,16.0,21.316102981567383,30
Qwen3-0.6B_a-mxfp8,Qwen3-0.6B,none,mxfp8,,False,,16.0,21.466171264648438,91
Qwen3-0.6B_w-mxfp8,Qwen3-0.6B,mxfp8,none,,False,,8.25,21.484848022460938,25
Qwen3-0.6B_w-mxfp8_a-mxfp8,Qwen3-0.6B,mxfp8,mxfp8,,False,,8.25,21.622894287109375,62
Qwen3-0.6B_ours-6.0,Qwen3-0.6B,none,none,,False,6.0,5.980124137515113,22.419588088989258,44
Qwen3-0.6B_errcomp-mxfp4_search,Qwen3-0.6B,none,none,mxfp4,True,,4.25,22.90805435180664,202
Qwen3-0.6B_errcomp-mxfp4,Qwen3-0.6B,none,none,mxfp4,False,,4.25,23.317996978759766,1653
Qwen3-0.6B_w-mxfp4_search,Qwen3-0.6B,mxfp4,none,,True,,4.25,25.439300537109375,59
Qwen3-0.6B_w-mxfp4,Qwen3-0.6B,mxfp4,none,,False,,4.25,25.578773498535156,26
Qwen3-0.6B_a-mxfp4,Qwen3-0.6B,none,mxfp4,,False,,16.0,25.742753982543945,94
Qwen3-0.6B_w-mxfp4_a-mxfp8,Qwen3-0.6B,mxfp4,mxfp8,,False,,4.25,25.914371490478516,57
Qwen3-0.6B_w-mxfp4_search_act,Qwen3-0.6B,mxfp4,none,,True,,4.25,26.041303634643555,59
Qwen3-0.6B_ours-5.0,Qwen3-0.6B,none,none,,False,5.0,4.919705073038737,29.90418815612793,45
Qwen3-0.6B_ours-4.5,Qwen3-0.6B,none,none,,False,4.5,4.453455389113653,34.97383499145508,47
Qwen3-0.6B_ours-4.2,Qwen3-0.6B,none,none,,False,4.2,4.118925421578544,36.68214416503906,51
Qwen3-1.7B_bf16,Qwen3-1.7B,none,none,,False,,16.0,16.849525451660156,336
Qwen3-1.7B_w-mxfp8,Qwen3-1.7B,mxfp8,none,,False,,8.25,17.589824676513672,323
Qwen3-1.7B_w-mxfp4,Qwen3-1.7B,mxfp4,none,,False,,4.25,21.726282119750977,346
Qwen3-14B_bf16,Qwen3-14B,none,none,,False,,16.0,10.35226058959961,293
Qwen3-14B_bf16,Qwen3-14B,none,none,,False,,16.0,10.3523,332
Qwen3-14B_w-mxfp8,Qwen3-14B,mxfp8,none,,False,,8.25,10.3966,343
Qwen3-14B_w-mxfp8,Qwen3-14B,mxfp8,none,,False,,8.25,10.396627426147461,303
Qwen3-14B_w-mxfp8_a-mxfp8,Qwen3-14B,mxfp8,mxfp8,,False,,8.25,10.4643,371
Qwen3-14B_w-mxfp4,Qwen3-14B,mxfp4,none,,False,,4.25,11.1479,342
Qwen3-14B_w-mxfp4,Qwen3-14B,mxfp4,none,,False,,4.25,11.147917747497559,302
Qwen3-14B_w-mxfp4_a-mxfp8,Qwen3-14B,mxfp4,mxfp8,,False,,4.25,11.2348,372
Qwen3-4B_w-mxfp8_search,Qwen3-4B,mxfp8,none,,True,,8.25,15.156,54
Qwen3-4B_bf16,Qwen3-4B,none,none,,False,,16.0,15.1675,42
Qwen3-4B_w-mxfp8,Qwen3-4B,mxfp8,none,,False,,8.25,15.4091,46
Qwen3-4B_errcomp-mxfp4_search,Qwen3-4B,mxfp4,none,mxfp4,True,,4.25,15.5,1767
Qwen3-4B_a-mxfp8,Qwen3-4B,none,mxfp8,,False,,16.0,15.5304,77
Qwen3-4B_errcomp-mxfp4,Qwen3-4B,mxfp4,none,mxfp4,False,,4.25,15.7037,1744
Qwen3-4B_w-mxfp8_a-mxfp8,Qwen3-4B,mxfp8,mxfp8,,False,,8.25,15.7063,81
Qwen3-4B_w-mxfp4_search,Qwen3-4B,mxfp4,none,,True,,4.25,16.3503,54
Qwen3-4B_w-mxfp4,Qwen3-4B,mxfp4,none,,False,,4.25,16.483,47
Qwen3-4B_w-mxfp4_a-mxfp8,Qwen3-4B,mxfp4,mxfp8,,False,,4.25,16.7638,82
Qwen3-4B_a-mxfp4,Qwen3-4B,none,mxfp4,,False,,16.0,17.7002,77
