model,tensor,role,layer,fmt,alpha,n_params,bits_per_value,bits_codes,bits_scales,bytes,changed_frac,has_calib,werr,werr_mxonly,mse,mse_mxonly
Qwen3-0.6B,lm_head.weight,lm_head,-1,mxfp4,0.0,155582464,3.874385637702717,3.8311658054213615,0.04321983228135531,75348308,0.0,False,1777.70361328125,1777.70361328125,1.1426118362578563e-05,1.1426118362578563e-05
Qwen3-0.6B,lm_head.weight,lm_head,-1,mxfp4,1.0,155582464,3.874162270627106,3.8309424383457507,0.04321983228135531,75343964,0.001157251243944819,False,1778.1015625,1777.70361328125,1.1428675861679949e-05,1.1426118362578563e-05
Qwen3-0.6B,lm_head.weight,lm_head,-1,mxfp4,5.0,155582464,3.8703344356340827,3.8271146033527277,0.04321983228135531,75269521,0.009722284639996446,False,1788.062255859375,1777.70361328125,1.149269792222185e-05,1.1426118362578563e-05
Qwen3-0.6B,lm_head.weight,lm_head,-1,mxfp8,0.0,155582464,6.56637097610178,6.523151143820424,0.04321983228135531,127701522,0.0,False,118.31759643554688,118.31759643554688,7.604815550621424e-07,7.604815550621424e-07
Qwen3-0.6B,lm_head.weight,lm_head,-1,mxfp8,1.0,155582464,6.46883242574176,6.4256125934604045,0.04321983228135531,125804611,0.06525430783767508,False,119.29658508300781,118.31759643554688,7.667740078431962e-07,7.604815550621424e-07
Qwen3-0.6B,lm_head.weight,lm_head,-1,mxfp8,5.0,155582464,6.38261628251369,6.339396450232335,0.04321983228135531,124127896,0.12926485082534753,False,125.52626037597656,118.31759643554688,8.068149668361002e-07,7.604815550621424e-07
Qwen3-0.6B,model.embed_tokens.weight,embed_tokens,-1,mxfp4,0.0,155582464,3.874385637702717,3.8311658054213615,0.04321983228135531,75348308,0.0,False,1777.70361328125,1777.70361328125,1.1426118362578563e-05,1.1426118362578563e-05
Qwen3-0.6B,model.embed_tokens.weight,embed_tokens,-1,mxfp4,1.0,155582464,3.874162270627106,3.8309424383457507,0.04321983228135531,75343964,0.001157251243944819,False,1778.1015625,1777.70361328125,1.1428675861679949e-05,1.1426118362578563e-05
Qwen3-0.6B,model.embed_tokens.weight,embed_tokens,-1,mxfp4,5.0,155582464,3.8703344356340827,3.8271146033527277,0.04321983228135531,75269521,0.009722284639996446,False,1788.062255859375,1777.70361328125,1.149269792222185e-05,1.1426118362578563e-05
Qwen3-0.6B,model.embed_tokens.weight,embed_tokens,-1,mxfp8,0.0,155582464,6.56637097610178,6.523151143820424,0.04321983228135531,127701522,0.0,False,118.31759643554688,118.31759643554688,7.604815550621424e-07,7.604815550621424e-07
Qwen3-0.6B,model.embed_tokens.weight,embed_tokens,-1,mxfp8,1.0,155582464,6.46883242574176,6.4256125934604045,0.04321983228135531,125804611,0.06525430783767508,False,119.29658508300781,118.31759643554688,7.667740078431962e-07,7.604815550621424e-07
Qwen3-0.6B,model.embed_tokens.weight,embed_tokens,-1,mxfp8,5.0,155582464,6.38261628251369,6.339396450232335,0.04321983228135531,124127896,0.12926485082534753,False,125.52626037597656,118.31759643554688,8.068149668361002e-07,7.604815550621424e-07
Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp4,0.0,3145728,3.9116592407226562,3.866785685221354,0.044873555501302086,1538127,0.0,True,0.21107089519500732,0.21107089519500732,9.629129635868594e-06,9.629129635868594e-06
Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp4,1.0,3145728,3.3733545939127603,3.3284810384114585,0.044873555501302086,1326457,0.6450923283894857,True,1.195122480392456,0.21107089519500732,6.632776785409078e-05,9.629129635868594e-06
Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp4,5.0,3145728,3.3464202880859375,3.3015467325846353,0.044873555501302086,1315866,0.6642602284749349,True,1.298813819885254,0.21107089519500732,6.83688631397672e-05,9.629129635868594e-06
Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp8,0.0,3145728,6.6802724202473955,6.635398864746094,0.044873555501302086,2626790,0.0,True,0.014242258854210377,0.014242258854210377,6.553907496709144e-07,6.553907496709144e-07
Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp8,1.0,3145728,5.953132629394531,5.9082590738932295,0.044873555501302086,2340867,0.7320858637491862,True,0.06573094427585602,0.014242258854210377,3.75685499420797e-06,6.553907496709144e-07
Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,down_proj,0,mxfp8,5.0,3145728,5.895894368489583,5.851020812988281,0.044873555501302086,2318360,0.7739302317301432,True,0.08235575258731842,0.014242258854210377,4.369723228592193e-06,6.553907496709144e-07
Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp4,0.0,3145728,3.8954035441080728,3.8564554850260415,0.03894805908203125,1531735,0.0,True,13.564088821411133,13.564088821411133,1.789780981198419e-05,1.789780981198419e-05
Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp4,1.0,3145728,3.8633499145507812,3.82440185546875,0.03894805908203125,1519131,0.06263415018717448,True,14.266526222229004,13.564088821411133,2.0345587472547777e-05,1.789780981198419e-05
Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp4,5.0,3145728,3.3221232096354165,3.2831751505533853,0.03894805908203125,1306312,0.4625345865885417,True,31.055622100830078,13.564088821411133,7.107260898919776e-05,1.789780981198419e-05
Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp8,0.0,3145728,6.658719380696614,6.619771321614583,0.03894805908203125,2618315,0.0,True,0.9153661727905273,0.9153661727905273,1.1835915074698278e-06,1.1835915074698278e-06
Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp8,1.0,3145728,6.4051666259765625,6.366218566894531,0.03894805908203125,2518614,0.17421881357828775,True,0.9822343587875366,0.9153661727905273,1.3913404472987168e-06,1.1835915074698278e-06
Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,gate_proj,0,mxfp8,5.0,3145728,6.2050018310546875,6.166053771972656,0.03894805908203125,2439906,0.4020684560139974,True,1.4039902687072754,0.9153661727905273,2.679236104086158e-06,1.1835915074698278e-06
Qwen3-0.6B,model.layers.0.mlp.up_proj.weight,up_proj,0,mxfp4,0.0,3145728,3.9168014526367188,3.8719991048177085,0.044802347819010414,1540149,0.0,True,4.284247398376465,4.284247398376465,9.26966549741337e-06,9.26966549741337e-06
