tensor,wnorm,w2
model.layers.0.mlp.down_proj.weight,73.6114501953125,13890.7138671875
model.layers.0.mlp.gate_proj.weight,696.1533813476562,18695.046875
model.layers.0.mlp.up_proj.weight,303.95904541015625,12430.0546875
model.layers.0.self_attn.k_proj.weight,36.13492965698242,2683.5048828125
model.layers.0.self_attn.o_proj.weight,47.84184646606445,4395.90185546875
model.layers.0.self_attn.q_proj.weight,60.66651153564453,5188.076171875
model.layers.0.self_attn.v_proj.weight,18.79078483581543,2360.235595703125
model.layers.1.mlp.down_proj.weight,90.302978515625,10640.462890625
model.layers.1.mlp.gate_proj.weight,28608.43359375,25281.517578125
model.layers.1.mlp.up_proj.weight,1960.545166015625,10256.064453125
model.layers.1.self_attn.k_proj.weight,20.037033081054688,2387.8212890625
model.layers.1.self_attn.o_proj.weight,18.318328857421875,4422.681640625
model.layers.1.self_attn.q_proj.weight,33.0763053894043,4993.1240234375
model.layers.1.self_attn.v_proj.weight,11.071321487426758,2502.048828125
model.layers.10.mlp.down_proj.weight,1332.3426513671875,13178.919921875
model.layers.10.mlp.gate_proj.weight,5132.04833984375,17865.376953125
model.layers.10.mlp.up_proj.weight,3180.003662109375,14810.080078125
model.layers.10.self_attn.k_proj.weight,1028.154052734375,2263.080810546875
model.layers.10.self_attn.o_proj.weight,673.1104736328125,4162.04638671875
model.layers.10.self_attn.q_proj.weight,2001.6669921875,4897.77880859375
model.layers.10.self_attn.v_proj.weight,612.6207275390625,2436.67724609375
model.layers.11.mlp.down_proj.weight,1401.070068359375,14101.6611328125
model.layers.11.mlp.gate_proj.weight,4373.9453125,16137.2314453125
model.layers.11.mlp.up_proj.weight,3181.70654296875,15491.892578125
model.layers.11.self_attn.k_proj.weight,1976.94140625,2292.51611328125
model.layers.11.self_attn.o_proj.weight,1722.6064453125,3754.66357421875
model.layers.11.self_attn.q_proj.weight,4444.9736328125,5502.31201171875
model.layers.11.self_attn.v_proj.weight,1077.172119140625,2204.156005859375
model.layers.12.mlp.down_proj.weight,1592.9415283203125,14090.013671875
model.layers.12.mlp.gate_proj.weight,4221.0048828125,15266.6943359375
model.layers.12.mlp.up_proj.weight,3213.499267578125,15371.8896484375
model.layers.12.self_attn.k_proj.weight,2169.6123046875,2174.924072265625
model.layers.12.self_attn.o_proj.weight,1272.821044921875,3755.33349609375
model.layers.12.self_attn.q_proj.weight,4330.98828125,5048.58837890625
model.layers.12.self_attn.v_proj.weight,1215.6690673828125,2331.018310546875
model.layers.13.mlp.down_proj.weight,1912.3992919921875,13404.5
model.layers.13.mlp.gate_proj.weight,4404.03955078125,14237.1875
model.layers.13.mlp.up_proj.weight,3508.874267578125,14580.4482421875
model.layers.13.self_attn.k_proj.weight,2879.640625,1976.421630859375
model.layers.13.self_attn.o_proj.weight,2179.326171875,3542.2216796875
model.layers.13.self_attn.q_proj.weight,6127.9072265625,5149.22021484375
model.layers.13.self_attn.v_proj.weight,1564.373291015625,2314.29833984375
model.layers.14.mlp.down_proj.weight,2571.349609375,13217.4560546875
model.layers.14.mlp.gate_proj.weight,4540.3427734375,13036.474609375
model.layers.14.mlp.up_proj.weight,3761.3798828125,13688.044921875
model.layers.14.self_attn.k_proj.weight,4522.076171875,1947.37158203125
model.layers.14.self_attn.o_proj.weight,1938.5780029296875,3546.767578125
model.layers.14.self_attn.q_proj.weight,9344.0654296875,4817.48828125
model.layers.14.self_attn.v_proj.weight,2429.095458984375,2199.720703125
model.layers.15.mlp.down_proj.weight,4025.41552734375,13332.193359375
