n_params,rows,cols,sqnr_db,nmse,max_abs_err,rms_weight,kurtosis,block_kurtosis,block_crest,code_entropy,code_entropy_ratio,scale_entropy,scale_span,zero_rate,top_level_rate,sat_rate,sat_block_rate,n_blocks,bits_per_value,bytes_bf16,bytes_mx,model,tensor,fmt,role,layer,dtype
155582464,151936,1024,18.729520206226493,0.013398246985259309,0.056640625,0.029202859235816368,3.2042040217955305,2.8634516507914416,2.3738080581497925,3.8502243725860144,0.9625560931465036,1.1102543728109382,5,0.08674322705160396,0.05922883442699558,0.0262740471831067,0.3694896617654802,4861952,4.25,311164928,82653184,Qwen3-0.6B,model.embed_tokens.weight,mxfp4,embed_tokens,-1,bfloat16
155582464,151936,1024,30.49762057222353,0.0008917393736013348,0.01513671875,0.029202859235816368,3.2042040217955305,2.8634516507914416,2.3738080581497925,6.532913417542536,0.816614177192817,1.1102543728109382,5,5.238379564421862e-06,0.013067925187249895,0.009252353787120892,0.20279015506529066,4861952,8.25,311164928,160444416,Qwen3-0.6B,model.embed_tokens.weight,mxfp8,embed_tokens,-1,bfloat16
3145728,1024,3072,18.543452086553494,0.013984752714010736,0.05859375,0.026240138387463082,3.5609759131361165,2.9993972778320312,2.4289061228434243,3.856731244051069,0.9641828110127673,1.05858654387099,5,0.08895619710286458,0.06563377380371094,0.02941735585530599,0.4610493977864583,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,mxfp4,down_proj,0,bfloat16
3145728,1024,3072,30.21431934895483,0.000951849015621969,0.025390625,0.026240138387463082,3.5609759131361165,2.9993972778320312,2.4289061228434243,6.555155155043712,0.819394394380464,1.05858654387099,5,4.132588704427083e-06,0.014480908711751303,0.010200182596842447,0.24375406901041666,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.0.mlp.down_proj.weight,mxfp8,down_proj,0,bfloat16
3145728,3072,1024,18.74855996997373,0.013339636734041769,0.0615234375,0.036629243579640265,4.000776341606371,2.8899558385213218,2.3894337018330893,3.842159381950547,0.9605398454876367,1.0568920157563926,4,0.09007485707600911,0.054130236307779946,0.022736867268880207,0.3646240234375,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,mxfp4,gate_proj,0,bfloat16
3145728,3072,1024,30.544540462782024,0.0008821571403227221,0.0302734375,0.036629243579640265,4.000776341606371,2.8899558385213218,2.3894337018330893,6.5382964975228965,0.8172870621903621,1.0568920157563926,4,4.132588704427083e-06,0.010945638020833334,0.007612864176432292,0.17271931966145834,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.0.mlp.gate_proj.weight,mxfp8,gate_proj,0,bfloat16
3145728,3072,1024,18.580230985759712,0.013866820742321675,0.0390625,0.025854942334668757,3.3271776173255434,2.931582768758138,2.4056525230407715,3.859963544383725,0.9649908860959312,1.023552000928878,4,0.09003416697184245,0.06677468617757161,0.029459317525227863,0.4705810546875,98304,4.25,6291456,1671168,Qwen3-0.6B,model.layers.0.mlp.up_proj.weight,mxfp4,up_proj,0,bfloat16
3145728,3072,1024,30.241599009154893,0.0009458888347254772,0.015625,0.025854942334668757,3.3271776173255434,2.931582768758138,2.4056525230407715,6.5572698600685975,0.8196587325085747,1.023552000928878,4,6.039937337239583e-06,0.014378547668457031,0.01007080078125,0.24299112955729166,98304,8.25,6291456,3244032,Qwen3-0.6B,model.layers.0.mlp.up_proj.weight,mxfp8,up_proj,0,bfloat16
1048576,1024,1024,18.7101177383997,0.01345823867915095,0.0625,0.030632721167245577,5.829441362081167,2.889134407043457,2.3882837295532227,3.849470288232742,0.9623675720581855,1.262286872178934,5,0.0872945785522461,0.05943870544433594,0.026189804077148438,0.386474609375,32768,4.25,2097152,557056,Qwen3-0.6B,model.layers.0.self_attn.k_proj.weight,mxfp4,k_proj,0,bfloat16
1048576,1024,1024,30.47003409481629,0.0008974217491545481,0.0302734375,0.030632721167245577,5.829441362081167,2.889134407043457,2.3882837295532227,6.536927596637026,0.8171159495796283,1.262286872178934,5,6.67572021484375e-06,0.012787818908691406,0.009057998657226562,0.202117919921875,32768,8.25,2097152,1081344,Qwen3-0.6B,model.layers.0.self_attn.k_proj.weight,mxfp8,k_proj,0,bfloat16
